DDB_ID,XML_RelPath,Title,Place,Date_Text,Date_When,Date_NotBefore,Date_NotAfter,Score,Block_Match_Count,Grain_Hits,Unit_Hits,Money_Hits,Priceword_Hit,Number_Type_Summary,Num_Tag_Values,Num_Tag_Texts,Snippet_1,Snippet_2,Snippet_3
basp;50;89,basp/basp.50/basp.50.89.xml,Schedule of Contracts from the Writing Office of Polydeukeia and Sethrenpai,Theadelphia (Arsinoites),spätes I - II,,0076,0200,4,1,κριθ;πυρ,αρταβ;μετρ,δραχμ;μνα,yes,num_tag,1;10;100;12;16;2;20;21;22;23;25;29;3;30;31;32;34;35;36;4;40;43;44;45;49;5;50;52;53;54;55;60;64;67;77;78,α;β;γ;δ;δεκαδύο;δύο;εἴκοσι;ιϛ;κ;κα;κβ;κγ;κε;κθ;λ;λα;λβ;λγ;λδ;λε;λθ;λϛ;μ;μδ;μιᾶς;ν;νγ;νδ;νε;ξδ;ξζ;οζ;οη;πέντε;τέσσαραςτέσσαρες;τέταρτον;τεσσαράκοντα;τεσσαράκοντα τέσσαραςτέσσαρες;τεσσαρακο;τριάκοντα;τριῶν;ἑκατὸν;ἑξήκοντα,ἔτους Αὐτοκράτορος Καίσαρος Δομιτιανοῦ Σεβαστοῦ Γερμανικοῦ γραφειόυγραφίου Πολυδευκείας καὶ Σεθρενπάει τῆς Θεμίστου μερίδος μηνὸς Τῦβι Ὧρος μ Σανσνεῦτι βου ὡς ἐτῶν ν οὐλὴ ὑπὸ μῆλον δεξιὸν ἔχεινἔχιν παρ’ αὐτοῦ διὰ μέτρου χρῆσιν πυροῦ ἐνεστῶτος ἔτους ἐπὶ κώμης Σεθρενπάει. ὑπογραφεῖς τοῦ μὲν Ὥρου Ἁρποκ,,
basp;58;123_32,basp/basp.58/basp.58.123_32.xml,Account,Ain es-Sabil (Oasis Magna),351 - 375,,0351,0375,4,1,κριθ,αρταβ,𐅵,yes,num_tag,1/2;12;30;34;36;4,δ;ιβ;λ;λδ;λϛ;𐅵,ἀπὸ κριθῆς ἀρτάβαι ιβ 𐅵 ἀρτάβαι δ Ηὑ Ταας μάτια δ οὕτως εντοεκεσεν μάτια ιβ ἐν ἐκτιμήσειἐκτιμήσι μάτια ιβ κω μάτια δ Γελασίῳ μάτια λ μητρὶ αὐτοῦ μάτια λϛ υρίωνι μάτια λδ 𐅵 Πμουν ἐκτίμησιν μάτια ιβ,,
bgu;10;1943,bgu/bgu.10/bgu.10.1943.xml,Pachtvertrag,Tholthis (Oxyrhynchites),215 - 214 v.Chr.,,-0215,-0214,4,1,πυρ;σιτ,αρταβ;μετρ,δραχμ,yes,num_tag,1;10;8,,Βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου καὶ Βερενίκης θεῶν Εὐεργετῶν ἔτους ὀγδόου ἐφʼ ἱερέως Πτολεμαίου τοῦ Πτολεμαίου τοῦ Στασικράτους Ἀλε ξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων κανηφόρου Ἀρσινόης Φιλαδέλφου Ἀρσινόης τῆς Σωσιβίου μηνὸς Αὐδναίου ἐν Θώλθει το,,
bgu;10;1944,bgu/bgu.10/bgu.10.1944.xml,Pachtvertrag,Tholthis? (Oxyrhynchites),214 - 213 v.Chr.,,-0214,-0213,4,2,ολυρ;πυρ;σιτ,αρταβ;μετρ,δραχμ,yes,num_tag,1/2;10;4;62,,ἐκφορίου πυρῶν ἀρταβῶν καὶ ὀλυρῶν ἀρταβῶν ἑξήκοντα δύο ἡμίσους . τὰ δʼ ἐκφόρια τὰ συγγεγραμμένα ἀποδότωσαν Ἀριστόλοχος καὶ Στράτων καὶ Μενέμαχος Καλλίστηι ἐνἐμ μηνὶ Δύστρωι τοῦ δεκάτου ἔτους σῖτον καθαρὸν καὶ ἄδο λον μέτρωι χοὶ τῶι Ἀριστολόχου μετρήσει δικαίαι καὶ ἀπενεγκάτωσαν εἰς Θῶλθιν οὗ ἂν Καλ ,καὶ ὀλυρῶν ἀρταβῶν ἑξήκοντα δύο ἡμίσους . τὰ δʼ ἐκφόρια τὰ συγγεγραμ μένα ἀποδότωσαν Ἀριστόλοχος καὶ Στράτων καὶ Μενέμαχος Καλ λίστηι ἐμ μηνὶ Δύστρωι τοῦ δεκάτου ἔτους σῖτον καθαρὸν καὶ ἄδο λον μέτρωι χοὶ τῶι Ἀριστολόχου μετρήσει δικαίαι καί ἀπενεγκάτωσαν εἰς Θῶλθιν οὗ ἂν Καλλίστη συντάξηι ἰδίωι ἀνα,
bgu;10;1946,bgu/bgu.10/bgu.10.1946.xml,Pachtvertrag,Tholthis (Oxyrhynchites),213 - 212 v.Chr.,,-0213,-0212,4,1,πυρ;σιτ,αρταβ;μετρ,δραχμ;χαλκ,yes,num_tag,10;2;3,,Βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου καὶ Βερενίκης θεῶν Εὐεργετῶν ἔτους δεκάτου ἐφʼ ἱερέως Πυθαγγέλου τοῦ Φιλοκλείτου Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων κανηφό ρου Ἀρσινόης Φιλαδέλφου Ἀγαθοκλέας τῆς Διογνήτου μηνὸς Γορπιαίου ἐν Θώλθει τοῦ Ὀξυρυγχίτ,,
bgu;10;1958,bgu/bgu.10/bgu.10.1958.xml,Quittung über vorausbezahlten Pachtzins,Tholthis (Oxyrhynchites),216 - 215 v.Chr.,,-0216,-0215,4,1,πυρ;σιτ,αρταβ,δραχμ,yes,num_tag,10;150,,Βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου καὶ Βερενίκης θεῶν Εὐεργ ετῶν ἔτους ἑβδόμου ἐφʼ ἱερέως Ἀγαθοκλέους τοῦ Ἀγαθοκλέους Ἀλε ξάνδρου καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπα τόρων κανηφόρου Ἀρσινόης Φιλαδέλφου Φιλησοῦς τῆς Δημητρίου μη νὸς Περιτίου ἐν Θώλθει τοῦ Ὀξυρυγχίτου νομοῦ. ὁμολογ,,
bgu;10;1959,bgu/bgu.10/bgu.10.1959.xml,Quittung über vorausbezahlten Pachtzins,Tholthis (Oxyrhynchites),215 - 214 v.Chr.,,-0215,-0214,4,1,πυρ;σιτ,αρταβ,δραχμ,yes,num_tag,10,,Βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου καὶ Βερενίκης θεῶν Εὐεργετῶν ἔτους ὀγδόου ἐφʼ ἱερέως Πτολεμαίου τοῦ Πτο λεμαίου τοῦ Στασικράτους Ἀλεξάνδρου καὶ θεῶν Σωτή ρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλο πατόρων κανηφόρου Ἀρσινόης Φιλαδέλφου Ἀρσινόης τῆς Σω σιβίου μηνὸς Ὑπερβερεταίου ἐν Θ,,
bgu;10;1969,bgu/bgu.10/bgu.10.1969.xml,Getreidedarlehen,Tholthis (Oxyrhynchites),215 - 214 v.Chr.,,-0215,-0214,4,2,πυρ;σιτ,αρταβ;μετρ,δραχμ,yes,num_tag,10,,Βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου καὶ Βερενίκης θεῶν Εὐεργετῶν ἔτους ὀγδόου ἐφʼ ἱερέως Πτολεμαίου τοῦ Πτολεμαίου τοῦ Στασικράτους Ἀλεξάνδρου καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων κανηφόρου Ἀρσινόης Φιλαδέλφου Ἀρσινόης τῆς Σωσιβίου μηνὸς Ξανδικοῦ ἐν Θώλθει τοῦ Ὀξυρυγχίτου νομο,Βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου καὶ Βερενίκης θεῶν Εὐεργε τῶν ἔτους ὀγδόου ἐφʼ ἱερέως Πτολεμαίου τοῦ Πτολεμαίου τοῦ Στασικράτους Ἀλεξάνδρου καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων κανηφόρου Ἀρσινόης Φιλαδέλφου Ἀρσινόης τῆς Σωσιβίου μηνὸς Ξανδικοῦ ἐν Θώλθει τοῦ Ὀξυρυγχίτου νομ,
bgu;11;2054,bgu/bgu.11/bgu.11.2054.xml,Verkauf von Katökenland mit Gebäude,Ptolemais Euergetis (Arsinoites),184 - 192,,0184,0192,4,1,πυρ,αρταβ,δραχμ,yes,num_tag,1/2;1/4;25;400,,"ἔτους Αὐτοκράτορος Καίσαρος Μάρκου Αὐρηλίου Κομμόδου Ἀντωνείνου Εὐσεβοῦς Εὐτυχοῦς Σεβαστοῦ Ἀρμενιακοῦ Μηδικοῦ Παρθικοῦ Σαρματικοῦ Γερμανικοῦ Βρεταννικοῦ μεγίστου, μηνὸς ἐν Πτολεμάιδι Εὐεργέτιδι τοῦ Ἀρσινοείτου νομοῦ. ὁμολογεῖ Θερμοῦθις μ μετὰ κυρίου τοῦ ἀνδρὸς Ὡρίωνος τοῦ Ἥρωνος τοῦ Ἥρωνος ὡς ἐτῶν τ",,
bgu;13;2330,bgu/bgu.13/bgu.13.2330.xml,Sale with Advance Payment (?),Soknopaiu Nesos (Arsinoites),27. Apr. 89,0089-04-27,,,4,1,πυρ,αρταβ;μετρ,δραχμ,yes,num_tag,20;30;40;60;8,"η;κ;τεσσαράκον

    τα;τεσσαράκοντα;τρίακοντα;τριάκοντα;ἑξήκοντα",ἔτους ὀγδόου Αὐτοκράτορος Καίσαρος Δομιτιανοῦο Αὐτοκράτορος Καίσαρος Δομιτιανοῦ Σεβαστοῦ Γερμανικοῦ μηνὸς Γερμανικείου δευτέρᾳ ἐν τῇ Σοκνοπαίουτῇ Σοκνοπαίου ΝήσῳΝήσου τῆς Ἡρακλείδου μερίδος τοῦ Ἀρσινοίτου νομοῦ· τοῦ Ἀρσινοίτου νομοῦ· ὁμολογεῖ Ἑριεῦς Παπεῖτος τοῦ Πανῆτος Πέρσης τῆς ἐπιγονῆς ὡς ἐτῶν τ,,
