DDB_ID,Mention_ID,Grain_Index,Candidate_Rank,Is_Primary,Block_Tag,Title,Place,Date_Text,Date_When,Date_NotBefore,Date_NotAfter,Grain_Form,Qty_Value,Qty_Unit,Price_Value,Price_Cur,Score,Dist_GP,Dist_GQ,Span_Toks,Lines_Crossed,Priceword_Near,Pos_Signal_Near,Ambiguous,AltScore,Alt_Qty,Alt_Price,Context_Window,Context_Type,Signal_Type,Signal_Strength,Neg_Signals,Rejection_Reason
basp;50;89,1,3,1,yes,ab,Schedule of Contracts from the Writing Office of Polydeukeia and Sethrenpai,Theadelphia (Arsinoites),spätes I - II,,0076,0200,πυρου,5,αρταβασ,60,δραχμασ,31.15,3,5,8,0,no,no,no,,,,ἔχιν παρ’ αὐτῆ ς χρῆσιν ἀργυ ρίου δραχμὰς 60 καὶ πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 5 μέτρω ι δρό μωι ἑξαχοινίκωι τῆς Μαρωνίδ,OTHER,,0.0,,
bgu;13;2330,1,1,1,yes,ab,Sale with Advance Payment (?),Soknopaiu Nesos (Arsinoites),27. Apr. 89,0089-04-27,,,πυρου,,,60,δραχμασ,37.74,7,-1,7,0,yes,yes,no,,,,"Σεβαστ οῦ νομίσ
ματ ος κε φαλαίου δραχμὰς 60 καὶ τιμήν καί τιμὴν
πυροῦ νέου καθαροῦ ἀδόλου ἀρταβ ἀρτάβ ας ἕξ ἀρταβ",PRICE,priceword_ext,0.6,,
bgu;20;2840,1,8,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,889,αρταβαι,19,ταλαντα,29.46,4,1,5,0,no,no,no,,,,"517 τῆς ἀρτάβης 100 τάλαντα 8 3700 γίνονται τάλαντα 19 1661 1/2 πυροῦ ἀρτάβαι 889
7-8 τούτοις τ οῖ ς ἀν",OTHER,,0.0,,
bgu;20;2840,1,10,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,705.5,αρταβαι,5,ταλαντα,31.23,3,1,4,0,no,no,no,,,,"Παχων ἀγή ματος Μακεδονικοῦ γίνονται ἄνδ ρες 193 τάλαντα 5 1240 πυροῦ ἀρτάβαι 705 1/2
τῶν παρ’ Ἑρμοκλέους τοῦ στρατη",OTHER,,0.0,,
bgu;20;2840,1,12,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,703.5,αρταβασ,5,ταλαντα,29.86,2,5,7,0,no,no,no,,,,"πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ
πυροῦ ἀρτάβας 703 1/2 κ αὶ εἰς Π αυν ι",OTHER,,0.0,,
bgu;20;2840,1,14,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,703.5,αρταβασ,5,ταλαντα,27.94,3,1,4,0,no,no,no,,,,703 1/2 κ αὶ εἰς Π αυν ι τάλαντα 5 Β πυροῦ ἀρτάβας 703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ,OTHER,,0.0,,
bgu;20;2840,1,15,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,1406,αρταβαι,10,ταλαντα,29.46,4,1,5,0,no,no,no,,,,"τάλαντα 5 Β πυροῦ ἀρτάβας 703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ ἀρτάβαι 1406
α ἐν τ ῇ ι 2",OTHER,,0.0,,
bgu;20;2840,1,16,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,1406,αρταβαι,29,ταλαντα,28.12,2,26,26,0,no,no,no,,,,"703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ ἀρτάβαι 1406
α ἐν τ ῇ ι 2 ἐν τ ῶ ι βα σιλικῶι μη νὸς Ἀ πελλα ίου ουν οὖν φ του τάλαντα 29 πυροῦ ἀρτάβας",OTHER,,0.0,,
bgu;20;2840,3,1,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,889,αρταβασ,29,ταλαντα,31.01,4,1,4,0,no,no,no,,,,"ἔτους 5 Παυνι 21 Σπάρτακος


πυροῦ ἀρτάβας 889
τάλαντα 29",OTHER,,0.0,,
bgu;2;362,6,1,1,yes,ab,keiner,Arsinoites,215 - 216,,0215,0216,πυρου,8,αρταβ,8,δραχμαι,29.29,5,1,5,0,no,no,no,,,,"μ ισθ α κ οδ ωχ
συμβολ πυροῦ ἀρτάβ 8 ἑκ άστης δραχμαὶ 8

λε ίων Καρποκράτ ο υ",OTHER,,0.0,,
