Sample_ID,Sample_Stratum,DDB_ID,Title,Place,Date_NotBefore,Date_NotAfter,Grain_Form,Context_Window,Has_Money_Cue,Has_Unit_Cue,Has_Number,Human_Label,Human_Commodity,Human_Qty,Human_Unit,Human_Price,Human_Currency,Human_Notes,RB_Grain_Form,RB_Qty_Value,RB_Qty_Unit,RB_Price_Value,RB_Price_Cur,RB_Score,RB_Priceword_Near,RB_Context_Type,RB_Signal_Type,RB_Signal_Strength,RB_Neg_Signals,LLM_Is_Price,LLM_Confidence,LLM_Commodity,LLM_Qty,LLM_Unit,LLM_Price,LLM_Currency,LLM_Reasoning
1,A_money,p.oxy;24;2421,Account of Wheat,Oxyrhynchites (?),0312,0323,κριθ,ραπίων ἰατρὸς κριθ ῆς ἀρτάβη 1 1/6 δηνάρια 765 . | Ξ ε νικὸς Τροίλου σίτ ου ἀρτάβης 1/12 δηνάρια 82 κριθ ῆς ἀρτάβη 1 1/2 1/3 δηνάρια 1200 . | Θε ρ μούτιον καὶ Σύρα καὶ Μάζα ς σίτ ου ἀρτάβης 1/3 1/24 δηνάρ,True,True,True,ME,,,,,,,κριθ,3.166667,αρταβαι,0.166667,ταλαντον,33.98,no,PRICE,priceword_ext,0.6,,True,high,κριθ,3.167,artaba,2050.0,denarius,"The entry for Pnephis son of Diodorus directly links 3 1/6 artabas of barley to a payment of 1 talent and 550 denarii (equivalent to 2050 denarii), indicating a clear price."
2,A_money,p.petr;3;109,Military Taxes,Arsinoites,-0248-11-01,,πυρου,38 ἔτους χωματι κὸν δραχμὰς 16 | ἁλικῆς δραχμὰς 11 | φυλακ ιτικὸν πυροῦ 3 | γίνονται δραχμαὶ 177 5 πυροῦ 9 | ε ἰς τοῦτο πέπτωκεν | ἔτους 36 Φαμενὼθ χω ματικὸν εἰς τὸ 36 ἔτος δραχμὰς 13 | | Ἁ θὺρ 16 εἰς τὸ,True,False,True,FP,,,,,,,πυρου,,,18,δραχμαι,25.05,no,OTHER,,0.0,,True,high,πυρου,15.0,artaba,150.67,drachma,"The phrase 'δραχμαὶ 150 4 κριθῆς ἀρτάβας 15' explicitly links 15 artabas of barley to 150 drachmas and 4 obols (150 + 4/6 drachmas), indicating a price."
3,A_money,p.sarap;;79e,Comptes de dépenses au titre de l’impôt,Hermopolites,0127,0128,πυρου,ον 1/2 | πηχ ισμοῦ 15 4 | εἰ δῶν 1 2 | ὑ π ὲρ Κονν α ρ Ἀπολ λωνίου 5 5 1/2 | Περι π όλιν ἄνω τι μῆς πυροῦ ὑ π ὲρ Σοή ρεως | Ἀπολ λωνίου ἀρτάβαι 2 1/4 δραχμαὶ 18 | γίνονται δραχμαὶ 44 ||| | δραχμαὶ 44 δραχμ,True,True,True,TP,,,,,,,πυρου,2,αρταβων,16,δραχμαι,32.88,no,OTHER,,0.0,,True,high,πυρου,10.0,artaba,80.0,drachma,The phrase 'τιμῆς πυροῦ' explicitly indicates a valuation of wheat. The entry 'ὑπὲρ Σοήρεως Ἀπολλωνίου ἀρτάβαι 10 δραχμαὶ 80' clearly links 10 artabas of wheat to 80 drachmas.
4,A_money,p.sarap;;79e,Comptes de dépenses au titre de l’impôt,Hermopolites,0127,0128,πυρου,εχ εὶρ 15 δραχμαὶ 124 | Περὶ π όλιν κ ά τ ω πυροῦ ὑ π ὲρ Σαρα π ίωνος ἀρτάβαι 10 1/2 δραχμαὶ 84 | 5 πυροῦ 2 1/2 δραχμαὶ 20 | Πατ εμί τ ης κ ά τ ω ἀρτάβαι 2 1/2 δραχμαὶ 20 | γίνονται δραχμαὶ 124 | Φαμε νὼθ,True,True,True,TP,,,,,,,πυρου,2,αρταβων,16,δραχμαι,32.88,no,OTHER,,0.0,,True,high,πυρου,10.0,artaba,80.0,drachma,The phrase 'τιμῆς πυροῦ' explicitly indicates a valuation of wheat. The entry 'ὑπὲρ Σοήρεως Ἀπολλωνίου ἀρτάβαι 10 δραχμαὶ 80' clearly links 10 artabas of wheat to 80 drachmas.
5,A_money,p.petr;3;109,Military Taxes,Arsinoites,-0248-11-01,,πυρου,ραχμαὶ 76 1 πυροῦ 8 1/2 ||| | Φ αῖδρος Λεπτίν ου | τοῦ 36 ἔτους χω ματικὸν | ἁ λικῆς | φυ λακιτικὸν πυροῦ 3 | γίνονται δραχμαὶ 23 2 πυροῦ 3 | τοῦ 37 ἔτους χωματι κὸν | ἁλικῆς δραχμὰς | ἐ ν νόμιον σὺν φυ λα,True,False,True,FP,,,,,,,πυρου,,,18,δραχμαι,25.05,no,OTHER,,0.0,,True,high,πυρου,15.0,artaba,150.67,drachma,"The phrase 'δραχμαὶ 150 4 κριθῆς ἀρτάβας 15' explicitly links 15 artabas of barley to 150 drachmas and 4 obols (150 + 4/6 drachmas), indicating a price."
6,A_money,p.sarap;;62,Comptes de rentrées en espèces et en nature,Hermopolites,,0128-07-17,πυρου,| εκθεως | Π εμοῦς Φατ ρήο υς εἰς ἀπόδο σιν Παχ | δραχμαὶ 52 πυροῦ ἀρτάβαι 48 1/3 24 | καὶ ὑ π ὲρ τόκο υ 11 ἔτους δραχμαὶ 72 κ αὶ ὑ π ὲρ ἐκφο ρίου | ἀρουρῶν 1/2 1/4 1,True,True,True,BORDER,,,,,,"εἰς ἀπόδοσιν repayment + ἐκφορίου rent — loan/rent mixed with money amounts, ambiguous",πυρου,48.333333,αρταβαι,52,δραχμαι,33.16,no,OTHER,,0.0,,True,medium,πυρου,48.375,artaba,52.0,drachma,"The passage explicitly links 52 drachmas to 48 1/3 24 artabas of wheat for 'ἀπόδοσιν' (payment/delivery), indicating a transactional price. The quantity '48 1/3 24' is interpreted as 48 + 1/3 + 1/24 artabas."
7,A_money,p.mich;2;127,Expense Accounts,Tebtynis (Arsinoites),0045-09-01,0046-01-17,πυρου,| λεπτῆς δαπάνη ς . δραχμαὶ 2 | ὁμ ο ίως ἡμῖν δαπάνης. δραχμαὶ 4 | Μαρσισούχωι ἱερεῖ εἱαιρῖ τιμῆ ς πυροῦ ἀρταβῶν 1 1/2 1/3 . δραχμαὶ 8 | 14 τιμῆ ς φακοῦ Χράτῃ ἀρτάβης 1 1/3 . δραχμαὶ 4 | 16 Εὐτύχῳ υἱῷ ὑει,True,True,True,ME,,,,,,,πυρου,1.833333,αρταβων,0.333333,δραχμαι,36.76,yes,PRICE,priceword_ext,0.6,,True,high,πυρου,1.8333,artaba,8.0,drachma,Explicit τιμῆς (price-of) construction links 1 5/6 artabas of wheat to 8 drachmas.
8,A_money,p.col;4;63,Daily Record of Receipts and Expenditures,Philadelphia? (Arsinoites),-0257-02-23,,σιτου,| εἰς τὸ Ἁρχήβιος πλοῖον κρη σχοινίον | πή χεων 80 πα λαστῆς δα κτύλου χαλ κοῦ δραχμὰς 2 | κάτεργον σίτου ἀρταβῶν 4 τῶν ἀνενεχθεισῶν ἀνενεγχθεισῶν | εἰς τὸ Σαραπιεῖον χαλ κοῦ δραχμὴν 1 | | 2 Σαλῆι Τρωγοδύτ,True,True,True,FP,,,,,,,πυρωνι,,,20,δραχμασ,39.93,no,PRICE,priceword_ext,0.6,,False,high,σιτου,,,,,"The phrase 'κάτεργον σίτου ἀρταβῶν 4 τῶν ἀνενεχθεισῶν ... χαλκοῦ δραχμὴν 1' indicates an expenditure (κάτεργον) of 1 drachma for the 4 artabas of wheat that were transported (ἀνενεχθεισῶν). This is a freight or handling fee, not a sale price for the grain itself."
9,A_money,p.sarap;;74,Comptes d’artabes,Hermopolites,0090,0133,πυρου,2 | Φίβι Χαιρή μονος πυροῦ ἀρτάβης 1/2 | ω ||| | λόγος ἐξαγωγῆ ς | | | Πετεχῶ ν Φατρή ους | Ἁθὺρ 15 πυροῦ ἀρτάβης 1/3 δραχμαὶ 4 2 20 | 6 πυροῦ ἀρτάβης 1/3 δραχμαὶ 4 8 πυροῦ ἀρτάβης 1/3 δραχμαὶ 4 | δι ὰ Εὐτ,True,True,True,ME,,,,,,,πυρου,1,αρταβησ,4,δραχμαι,29.46,no,OTHER,,0.0,,False,high,πυρου,,,,,"The text mentions quantities of wheat (πυροῦ ἀρτάβαι) and the word 'πράσεως' (of sale), indicating a transaction type. However, no monetary amount is associated with these quantities, so it does not constitute a grain price."
10,A_money,p.mich;2;123,Grapheion Register and Grapheion Accounts,Tebtynis (Arsinoites),0045-11-09,0046-12-24,πυρου,ο υρῶν 4 πρὸ ς ἀργ υρίου δραχμὰς 500 . δραχμαὶ 8 | 19 ὁμο λογία Ἰσχυρίωνο ς πρὸ ς Ὀννόφρ ιν ἀποχῆ ς πυροῦ ἀρταβῶν 19 . ὀβολοὶ 14 | ὁμο λογία Τατεφερσῶτος πρὸ ς Ὀρσενοῦφιν περιλύσ εως δραχμῶν 100 . δραχμαὶ,True,True,True,FP,,,,,,"ἀποχῆς πυροῦ ἀρταβῶν 19 — receipt for wheat artabas, grapheion register entry",πυρου,5,αρταβων,100,δραχμων,29.59,no,OTHER,,0.0,,True,high,πυρου,1.833,artaba,16.0,drachma,"The text explicitly states 'πυροῦ ἀρτάβης 1 1/2 1/3 . ἀργυρίου δραχμαὶ 16', directly linking a quantity of wheat to a monetary value. The preceding 'τιμῆς' for beer suggests a context of valuation or pricing."
