Harper_Source,Period,Date_Earliest,Date_Latest,Price_Literal,Nome,DDB_IDs_Matched,In_Candidates,In_RuleBased,In_LLM,Notes
P. Mich. 2.127,1-3C,45,45,6.83,Arsinoites/ Krokodeilopolites Nomos,p.mich;2;127,True,True,True,"average of six prices: in dr, 4.36, 5.71, 8, 7.27, 7.62, 8; Rathbone and von Reden Table A8.12; Rathbone says following poor inundation"
P. Mich. 2.123,1-3C,46,46,8.73,Arsinoites/ Krokodeilopolites Nomos,p.mich;2;123,True,True,True,Rathbone and von Reden Table A8.12; Rathbone says following poor inundation
SB 20.14576.34,1-3C,46,47,6,Arsinoites/ Krokodeilopolites Nomos,sb;20;14576,True,True,True,Rathbone and von Reden Table A8.12; Rathbone says following poor inundation
SB 8.9699,1-3C,78,79,10.67,Hermopolites Nomos,sb;8;9699,True,True,True,average of three prices in same doc; Rathbone and von Reden Table A8.12
P. Louvre 2.103,1-3C,75,125,5,Arsinoites/ Krokodeilopolites Nomos,p.louvre;2;103,True,True,True,Rathbone and von Reden Table A8.12
P. Sarap. 60.10,1-3C,124,124,9,Hermopolites Nomos,p.sarap;;60,True,False,True,Rathbone and von Reden Table A8.12
P. Sarap. 92.18-19,1-3C,100,130,7,Hermopolites Nomos,p.sarap;;92,True,False,False,Rathbone and von Reden Table A8.12
P. Sarap. 79b,1-3C,128,128,12,Hermopolites Nomos,p.sarap;;79b,True,False,True,Rathbone and von Reden Table A8.12
PSI 4.281,1-3C,138,139,5.6,Oxyrhynchites Nomos,psi;4;281,True,False,False,Rathbone and von Reden Table A8.12
P.Berl.Zill.10,1-3C,100,200,6,Hermopolites Nomos,p.berl.zill;;10,True,True,False,Rathbone and von Reden Table A8.12
P. Erl. 92.6-9,1-3C,100,200,8,unknown,p.erl;;92,False,False,False,Rathbone and von Reden Table A8.12
SPP 22.110,1-3C,100,200,8,Arsinoites/ Krokodeilopolites Nomos,stud.pal;22;110,False,False,False,Rathbone and von Reden Table A8.12
O. Ashm. 91,1-3C,100,200,9,unknown,o.ashm;;91,True,True,True,Rathbone and von Reden Table A8.12
P. Berl. Leigh. 2.39 recto 64,1-3C,160,160,8.00 or 12.00,Arsinoites/ Krokodeilopolites Nomos,p.berl.leihg;2;39,True,False,True,Rathbone and von Reden Table A8.12
P. Cair. Goodsp. 30,1-3C,192,192,18.67,Arsinoites/ Krokodeilopolites Nomos,p.cair.goodsp;;30,True,True,True,Rathbone and von Reden Table A8.12
SB 16.12607,1-3C,175,200,12,Arsinoites/ Krokodeilopolites Nomos,sb;16;12607,True,False,True,Rathbone and von Reden Table A8.12
P. Iand. 6.94,1-3C,175,200,18,Arsinoites/ Krokodeilopolites Nomos,p.iand;6;94,True,True,True,Rathbone and von Reden Table A8.12
SB 16.12981,1-3C,175,200,20,Arsinoites/ Krokodeilopolites Nomos,sb;16;12981,False,False,False,Rathbone and von Reden Table A8.12
P. Lund 4.11,1-3C,202,,20,Arsinoites/ Krokodeilopolites Nomos,p.lund;4;11,True,True,True,Rathbone and von Reden Table A8.12
P. NYU 2.8,1-3C,202,232,16,Oxyrhynchites Nomos,p.nyu;2;8,False,False,False,Rathbone and von Reden Table A8.12
P. Louvre 1.51,1-3C,215,217,16.4,Arsinoites/ Krokodeilopolites Nomos,p.louvre;1;51,True,True,True,average of five prices; Rathbone and von Reden Table A8.12
P. Louvre 1.54,1-3C,217,218,14.57,Arsinoites/ Krokodeilopolites Nomos,p.louvre;1;54,True,True,True,average of seven prices in the same document; Rathbone and von Reden Table A8.12
P. Laur. 1.11,1-3C,226,242,12,Arsinoites/ Krokodeilopolites Nomos,p.laur;1;11,True,False,False,Rathbone and von Reden Table A8.12
P. Grenf. 1.51,1-3C,200,300,19.43,Arsinoites/ Krokodeilopolites Nomos,p.grenf;1;51,True,True,True,Rathbone and von Reden Table A8.12
BGU VII 1717,1-3C,200,300,20,Arsinoites/ Krokodeilopolites Nomos,bgu;7;1717,True,False,True,Rathbone and von Reden Table A8.12
P. Prince. 3.175,1-3C,200,300,24,unknown,p.princ;3;175,False,False,False,Rathbone and von Reden Table A8.12
P. Flor. 1.9b,1-3C,249,249,24,Arsinoites/ Krokodeilopolites Nomos,p.flor;1;9b,False,False,False,Rathbone and von Reden Table A8.12
"P. Prag. Varcl. 2.2, 3.240",1-3C,250,250,20,Arsinoites/ Krokodeilopolites Nomos,"p.prag.varcl;2;2,",False,False,False,Rathbone and von Reden Table A8.12
SB 20.14645,1-3C,251,251,20,Arsinoites/ Krokodeilopolites Nomos,sb;20;14645,True,True,True,Rathbone and von Reden Table A8.12
P. Prag. Varcl. 2.4,1-3C,252,252,24,Arsinoites/ Krokodeilopolites Nomos,p.prag.varcl;2;4,False,False,False,Rathbone and von Reden Table A8.12
SB 20.14197,1-3C,253,253,16,Arsinoites/ Krokodeilopolites Nomos,sb;20;14197,True,True,True,Rathbone and von Reden Table A8.12
P. Lond. 3.1226,1-3C,254,254,12,Arsinoites/ Krokodeilopolites Nomos,p.lond;3;1226,True,True,True,Rathbone and von Reden Table A8.12
BGU 1.14,1-3C,255,255,16,Arsinoites/ Krokodeilopolites Nomos,bgu;1;14,True,False,True,Rathbone and von Reden Table A8.12
P. Flor. 3.321,1-3C,255,259,12,Arsinoites/ Krokodeilopolites Nomos,p.flor;3;321,True,True,True,Rathbone and von Reden Table A8.12
P. Sorb. Inv. 2186,1-3C,255,260,16,Arsinoites/ Krokodeilopolites Nomos,p.sorb;inv;2186,False,False,False,Rathbone and von Reden Table A8.12
P. Prag. 3.236,1-3C,259,259,16,Arsinoites/ Krokodeilopolites Nomos,p.prag;3;236,True,True,True,Rathbone and von Reden Table A8.12
"P. Oxy. 49.3513, 3516, 3518, 3519",1-3C,260,260,16,Oxyrhynchites Nomos,p.oxy;49;3513; p.oxy;49;3516; p.oxy;49;3518; p.oxy;49;3519,True,True,True,Rathbone and von Reden Table A8.12
P. Prag. Varcl. 2.6,1-3C,260,260,12,Arsinoites/ Krokodeilopolites Nomos,p.prag.varcl;2;6,False,False,False,Rathbone and von Reden Table A8.12
P. Prag. 3.238,1-3C,263,263,12,Arsinoites/ Krokodeilopolites Nomos,p.prag;3;238,True,False,True,Rathbone and von Reden Table A8.12
P. Erl. 101,1-3C,270,270,24,Oxyrhynchites Nomos,p.erl;;101,True,True,True,Rathbone and von Reden Table A8.12
P. Oxy. 75.5063,1-3C,275,290,240?,Oxyrhynchites Nomos,p.oxy;75;5063,True,False,False,Rathbone and von Reden Table A8.12
CPR 6.75,4C,301,301,640,Hermopolites Nomos,cpr;6;75,True,True,True,Rathbone and von Reden Table A8.15; Bagnall Kellis IV; Rathbone Monetisation 329
