DDB_ID,Mention_ID,Grain_Form,Context_Type,Signal_Strength,Neg_Signals,Rejection_Reason,Context_Window
basp;50;89,1,πυρου,LOAN,0.0,LOAN,no_positive+negative(LOAN),"χρῆσι ν ἔντοκο ν κ αὶ τειμὴ ν πυροῦ νέου καθαρο ῦ ἀδ όλου ἀρταβῶν
Μαρωνὶς"
bgu;20;2840,1,πυρου,RATION,0.0,RATION,no_positive+negative(RATION),καὶ σιτωνίου χα λκοῦ τάλαντα 10 3961 1/2 πυροῦ ἀρταβῶν 1406 ἀντ α ναιρο υμένων δὲ ν
bgu;20;2840,1,σιτ,RATION,0.0,RATION,no_positive+negative(RATION),τοῦ ὀψων ίου ἀνταξιου μενου καὶ τοῦ σιτ ων ίου τοῖς ἐν τῶι Ἡρακλεοπολί τ ηι
bgu;3;717,1,πυρου,TAX,0.0,TAX,no_positive+negative(TAX),"κο ν καθʼ ἔτος
καθαρὰς ἀπὸ δημοσίων πυροῦ ἀρτάβας δέκα δύο 12 καὶ Ἀμμώ
νιος"
bgu;3;834,1,πυρου,ADMIN,0.0,ADMIN,no_positive+negative(ADMIN),"οχ
τες δεκα ν ίαν δ ος πυροῦ Ἀθηνίωνι κωμογραμματεῖ κωμογραμματῖ Σο κ νοπαίο υ"
bgu;3;834,1,πυρου,TAX,0.0,TAX,no_positive+negative(TAX),"Θ ε μί στ ο υ
μερίδος πυροῦ μέτρῳ δημοσίῳ δημωσίῳ τὸν μὲν Ἀ πῦ γχιν"
bgu;6;1228,1,πυρων,TAX,0.0,"TAX,SEED","no_positive+negative(TAX,SEED)","τοῦ Λεοντίσκ ου
κλήρου τῶν Ἀντιόχ ου πυρῶν 30 κριθῶν 11
σῖτον σῖτογ καθαρὸν ἄδολον,"
bgu;6;1228,1,κριθων,TAX,0.0,"TAX,SEED","no_positive+negative(TAX,SEED)","ου
κλήρου τῶν Ἀντιόχ ου πυρῶν 30 κριθῶν 11
σῖτον σῖτογ καθαρὸν ἄδολον, ἀπομετρησάτω δὲ"
bgu;7;1613,1,πυρου,TAX,0.0,"TAX,TRANSPORT","no_positive+negative(TAX,TRANSPORT)","ἀλ λ α φορετρ
τιμ ῆ ς πυροῦ ἀρταβῶν 13 Νέρ ω νος
γί νονται"
p.berl.frisk;;1,9,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"Θεμ ίστου
μ ερίδ ος ὑπὲρ φορέτρων πυροῦ,
ο ὗ κατή ξα μεν ἀπὸ θησαυρῶ"
p.berl.frisk;;1,10,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"ῶν δύο 2 μερίδων
ὑπὲρ φορέτρ ων πυροῦ, οὗ ἐδ ηλ ώθ ημεν καταγειοχ έναι"
p.berl.frisk;;1,11,πυρου,TAX,0.0,"TAX,TRANSPORT","no_positive+negative(TAX,TRANSPORT)","ιμῆς ς ,
ἧς ἐποιησάμεθα ἀπεργασίας δημοσίου πυροῦ γν
Ἀντωνίνου Καίσαρος τοῦ κυρίου τῷ Ἁθὺρ"
p.berl.frisk;;1,11,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"18 ἔτους ἐπὶ τὸ αὐτὸ φορέτρων φολέτρων πυροῦ ἀρτάβας 102 1/2 1/6 1/48 , ὡς τῆς"
p.berl.frisk;;1,15,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"Πολ έμωνος μερίδων
ὑ πὲρ φορέτρω ν πυροῦ,
ο ὗ κα τ ῆ ξα ἀπὸ"
p.berl.frisk;;1,17,πυρ,TAX,0.0,"TAX,TRANSPORT","no_positive+negative(TAX,TRANSPORT)","ντων μοι φορέτρων, οὗ
κατ ῆξα δημοσίου πυρ ο ῦ ἀπὸ
θησαυ ρ ῶ ν"
p.berl.frisk;;1,18,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"χειριστικοῦ χ ι ρ ιστι κοῦ πυροῦ, ὧν ἐδηλ ώθημεν πεποιῆσθαι ἀναβολῶ ν
ἀπὸ δ"
p.berl.frisk;;1,21,πυρο,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"Πολ έμωνος μερίδω ν ὑ πὲρ
φορέτρων πυρο ῦ οὗ κα
τῆξα ἀπὸ θησαυ ρῶ"
p.berl.frisk;;1,24,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"τηγίαν τῶν δύο 2 μερί δων ὑπὲρ φορέτρων πυροῦ καὶ κ ρ ιθ ῆς
ὧν ἐδηλ"
p.berl.frisk;;1,28,πυρου,TAX,0.0,TAX,no_positive+negative(TAX),"20 1/2 . Πακῆμ ις Πακήμ εως
πυροῦ ἀρτάβας 13 1/2 1/3 . ἰδιωτικ οί ·"
p.bodl;1;143,1,κριθ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"321
Ἀκυσιλάῳ τρ απεζίτῃ τι μ ῆς κριθ ῆς
ὑπὲρ ἀρταβῶν 25 τάλαντα 300"
p.bodl;1;143,1,κριθησ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"25 τάλαντα 300
κ αὶ ὑπὲρ ναύλου κριθῆς τάλαντα 266 δηνάρια 3000
ὑπ ὲρ ἄνθρακος"
p.cair.isid;;41,2,σιτολοι,TAX,0.0,TAX,no_positive+negative(TAX),"ος καὶ οἱ κοι νωνοὶ σιτολό γο ι σιτολοι κώμης
Καρανί δος ἐμετρήθη σαν ἡμῖν ἡμεῖ"
p.cair.isid;;41,2,πυρου,TAX,0.0,TAX,no_positive+negative(TAX),"20 καὶ 12 ὀνόματος Παλήμωνος
Πτ ολεμαίου πυροῦ καθαροῦ ἀρτάβα ς ἑ βδομήκον
τα δύο,"
p.cair.isid;;61,2,κριθησ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"χαίρειν.
ἔσχαμεν παρὰ σοῦ ὑπὲρ ναύλων ναῦλα κριθῆς
ἀποστελλομένης ἀποστελλομενου ἐν Χαιρέου ἀργυρίου
δραχμὰς"
p.cair.isid;;61,2,κριθησ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"τρισχιλίας τρισχιλείας τριακοσίας, δραχμὰς 3300 ,
καὶ κριθῆς ὁμοίως ἀρτάβας ἕνδεκα τρίτον,
ἀρτάβας 11 1/3"
p.cair.zen;3;59325,1,κριθων,TAX,0.0,TAX,no_positive+negative(TAX),"ίλωι πυ ρῶν 8 1/2 1/3 1/8
κριθῶν ἀρ τάβαι 42
Ἡγήμονι πυ ρῶν 29"
p.cair.zen;4;59647,2,σιτου,RATION,0.0,RATION,no_positive+negative(RATION),"τοῦ παρόντος, ἕως
ἂν Ἀπολλωνίωι ἐντύχωμεν,
σίτου μὲν κατὰ μῆνα
πυρῶν ἀρ τάβας 3"
p.cair.zen;4;59647,2,πυρων,RATION,0.0,RATION,no_positive+negative(RATION),"Ἀπολλωνίωι ἐντύχωμεν,
σίτου μὲν κατὰ μῆνα
πυρῶν ἀρ τάβας 3 , πρὸς δὲ
τὸ"
p.cair.zen;4;59723,1,σιτωνησωσιν,TAX,0.0,TAX,no_positive+negative(TAX),"ἕως ἂν σιτωνήσωσιν κριθὴν
καὶ εἰς τὸ ἐκφόριον μετρήσωσιν·"
p.cair.zen;4;59723,1,κριθην,TAX,0.0,TAX,no_positive+negative(TAX),"ἕως ἂν σιτωνήσωσιν κριθὴν
καὶ εἰς τὸ ἐκφόριον μετρήσωσιν·
ἐὰν"
p.cair.zen;4;59745,2,πυρ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"Πετῶι Στρωίσου διʼ ἐγγύου
Κελεήσιος 450 πυρ οῦ ἀρ τάβαι 20
Πετεχῶντι Νεβώγχιος διʼ"
p.cair.zen;5;59825,1,πυρωνι,RATION,0.0,RATION,no_positive+negative(RATION),", Πρωτομάχωι
δόμα ἀναπόδοτον δραχμὰς 30 , Πύρωνι ἱματισμὸν
τοῦ 44 ἔτους δραχμὰς 30 ,"
p.col;2;1r_4col16,1,πυρου,ADMIN,0.0,ADMIN,no_positive+negative(ADMIN),"ρίδων ὑπὲρ φ ο ρέ
τ ρων πυροῦ ἀπεργασίας γενο μ έ
ν ης ἐπὶ"
p.col;2;1r_4col19,1,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"έμωνος μ ε ρίδων ὑπ ὲρ φορέτρω ν πυροῦ καὶ
κριθῆς ὧν ἐδ ηλώθημε ν κατηχέναι"
p.col;2;1r_4col19,1,κριθησ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"ρίδων ὑπ ὲρ φορέτρω ν πυροῦ καὶ
κριθῆς ὧν ἐδ ηλώθημε ν κατηχέναι καταδιοχέναι ἀπὸ θη"
p.col;2;1r_4col8,1,πυρου,ADMIN,0.0,"ADMIN,TRANSPORT","no_positive+negative(ADMIN,TRANSPORT)","Θεμ ίστου μερίδο ς ὑπὲρ φορέτρω ν
πυροῦ ἀπεργασίας ἧς ἐποιήσαμε ν ἀπὸ θησαυρῶ ν"
p.col;3;54,1,πυρον,SEED,0.0,SEED,no_positive+negative(SEED),"νότον ἀρούρας 100 εἰς ἐνιαυτόν, ἑκάστην ἄρουραν πρὸς πυρὸν ἀν ὰ ἀρ τάβας 7 1/8 ἀκίνδυνον"
p.col;3;54,1,πυροφορον,SEED,0.0,SEED,no_positive+negative(SEED),"ἀνυπόλογον παντὸς ὑπολόγου. δοθήσεται δὲ εἰς μὲν τὴν πυροφόρον σπέρμα τῆι ἀρούρᾳ ἀρ τάβης 1/2 ,"
p.col;3;54,1,κριθοφορον,SEED,0.0,SEED,no_positive+negative(SEED),"ἀρ τάβης 1/2 ,
εἰς δὲ τὴν κριθοφόρον κατὰ λόγον καὶ εἰς ἀνήλωμα ἑκάστηι ἀρούρᾳ κρ"
p.col;3;54,1,σιτον,TAX,0.0,TAX,no_positive+negative(TAX),"ἀπομετρείτωσαν δὲ Ἡγήσαρχος καὶ Θεόπομπος καὶ Νικόδημος τὸν σῖτον εἰς τὸ
ἐκφόριον ἐν τῶι ἐν ἐμ"
p.col;3;54,1,σιτο,TAX,0.0,TAX,no_positive+negative(TAX),"ἐν τῶι ἐν ἐμ Φιλαδελφείαι θησαυρῶι κατὰ τὸ σιτο λ ογικὸν διάγραμμα ἐν ἐμ μηνὶ
Δαισί"
p.col;3;54,1,σιτον,LOAN,0.0,"LOAN,SEED","no_positive+negative(LOAN,SEED)","καὶ ὃν ἂν λαμβά ν ωσιν λαμβά ωσιν σῖτον εἰς σπέρμα καὶ
βοτανισμὸν καὶ ἀνήλωμα καὶ"
p.col;3;54,1,σιτον,LOAN,0.0,"LOAN,SEED","no_positive+negative(LOAN,SEED)","ὅσον ἂν ἀργύριον εἰς τὴν κοπάδα δανείσωνται ἢ σῖτον
ἀντὶ τοῦ ἀργυρίου, τῶν τῶμ μὲν πυ"
p.col;3;54,1,πυρου,ADMIN,0.0,ADMIN,no_positive+negative(ADMIN),"Ἑλενεῖοι, Θεόπομπος Ἀριστίωνος Θεσσαλὸς ἰατρός, Διόδωρος Ζ ω πύρου
Μάγνης τῶν περὶ Ἀπολλώνιον τὸν διοικητήν, Ἀγαθῖνος"
p.col;4;63,1,σιτου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"δα κτύλου χαλ κοῦ δραχμὰς 2
κάτεργον σίτου ἀρταβῶν 4 τῶν ἀνενεχθεισῶν ἀνενεγχθεισῶν
εἰς τὸ"
p.enteux;;55,1,πυρων,TAX,0.0,TAX,no_positive+negative(TAX),"ἐν τοῖς πρότερον χρόνοις ἐμίσθουν ἐκφόριον ἑκάστης ἀρούρας πυρῶν ἀρτάβας 4 1/2
ὃ γίνεται πυρῶν ἀρτάβαι"
p.enteux;;55,1,πυρων,TAX,0.0,TAX,no_positive+negative(TAX),"ἀρούρας πυρῶν ἀρτάβας 4 1/2
ὃ γίνεται πυρῶν ἀρτάβαι τῶν δύο 2 ἐτῶν, τοῦ μὲν ἑνὸς"
p.enteux;;55,1,πυρων,TAX,0.0,TAX,no_positive+negative(TAX),"τοῦ μὲν ἑνὸς 1 ἔτους ἐκφόριον τοῦ ἡμικληρίου πυρῶν ἀρτάβαι 185 1/2 1/8 ,
τοῦ δὲ"
p.enteux;;55,1,πυρων,TAX,0.0,TAX,no_positive+negative(TAX),"τὸ 25 ἔτος , ἐκφόριον ὅλου τοῦ κλήρου πυρῶν ἀρτάβαι 371 1/4 · οὐκ ἀποδιδό
ασιν,"
p.frankf;;3,1,πυρου,TAX,0.0,TAX,no_positive+negative(TAX),"εἰς ἐνιαυ τ ὸν ἕνα 1
ἐκφορίου πυροῦ ἀρταβῶν 60 ἐν αυ ελ σει"
p.graux;3;30col2,1,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"Θεμίστ ου καὶ Πολέμ ωνος μερίδων ὑπὲρ φορέτρων πυροῦ
καὶ κ ρ ι θῆς ὧν κατήξαμεν"
p.graux;3;30col3,1,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"Πολέμωνος μερίδων, ἃς ᾐτησάμεθα ἐπισταλῆναι,
ὑπὲρ φορέτρων πυροῦ καὶ κριθῆς ὧν κατήξαμεν ἀπὸ θησαυρῶν Πο"
p.graux;3;30col3,1,κριθησ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"ἃς ᾐτησάμεθα ἐπισταλῆναι,
ὑπὲρ φορέτρων πυροῦ καὶ κριθῆς ὧν κατήξαμεν ἀπὸ θησαυρῶν Πο
λέμωνος μερίδος"
p.graux;3;30col8,1,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"στρα τηγίαν τῶν 2 μερίδων ὑπὲρ φορέτρων πυροῦ οὗ κατή
ξαμεν ἀπὸ θησ α υρῶν"
p.hamb;1;27,1,πυρων,SEED,0.0,SEED,no_positive+negative(SEED),"ἀπόστειλον δὲ ἡμῖν
τὰς ἀρ τάβας τῶν πυρῶν· οὐ γὰρ ἔχομεν ἀλλʼ ἢ ἡμερῶν 2 σπέρμα."
p.lille;1;53,1,σιτον,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"σοιτυ τοῖς
ἱππεῦ σι τὸν
ἀγοραστὸν σῖτον, ὑπολογεῖν ἑκάστωι
εἰς τὸ φόρετρον τὸ γινόμενον"
p.lille;1;53,1,σιτο,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"καθότι γράφει ὁ διοικητὴς
δεῖν τὸν ἀγοραστὸν σῖτο ν ἐπικαθισ
τάναι ἐπὶ τοὺς ὅρμους τὸ"
p.lille;1;53,1,σιτου,ADMIN,0.0,"ADMIN,TRANSPORT","no_positive+negative(ADMIN,TRANSPORT)","τοῦ στρατηγοῦ καὶ τῶν ἡγεμόνων
τοῦ μετρουμένου σίτου ἀπὸ τῆς 23 τοῦ Μεσορὴ προσ
κομίζεσθαι"
p.lond;3;1203,1,πυρου,LOAN,0.0,LOAN,no_positive+negative(LOAN),"ὀφείλειν Πανοβχούνει Τοτοέους χαλκοῦ τάλαντα 8
καὶ πυροῦ ἀρτάβας 13 1/2 1/4 ἄτοκα. τὸ δὲ ὀφείλημα"
